Date,Open,High,Low,Close,Adj Close,Volume
2021-01-25,62.180000,62.950001,61.919998,62.400002,62.400002,120300
2021-01-26,62.779999,63.160000,62.480000,62.680000,62.680000,117400
2021-01-27,62.410000,62.900002,61.500000,61.730000,61.730000,139600
2021-01-28,63.430000,64.279999,63.080002,63.720001,63.720001,93000
2021-01-29,62.200001,62.369999,61.020000,61.570000,61.570000,76500
2021-02-01,63.240002,63.240002,62.580002,62.980000,62.980000,81400
2021-02-02,65.940002,66.889999,65.669998,66.669998,66.669998,120600
2021-02-03,66.580002,66.879997,66.010002,66.150002,66.150002,102200
2021-02-04,67.650002,68.430000,67.349998,68.110001,68.110001,79100
2021-02-05,69.309998,70.040001,69.260002,69.769997,69.769997,101100
2021-02-08,69.489998,69.669998,68.830002,69.019997,69.019997,79900
2021-02-09,69.320000,69.320000,68.449997,68.919998,68.919998,83300
2021-02-10,67.699997,68.209999,67.449997,67.449997,67.449997,98700
2021-02-11,67.599998,68.230003,67.529999,68.110001,68.110001,50900
2021-02-12,67.010002,68.099998,66.949997,68.080002,68.080002,64000
2021-02-16,71.209999,71.580002,70.919998,71.160004,71.160004,107000
2021-02-17,69.300003,69.910004,68.680000,69.610001,69.610001,79100
2021-02-18,69.610001,69.959999,69.150002,69.849998,69.849998,51700
2021-02-19,70.779999,71.790001,70.769997,71.209999,71.209999,194600
2021-02-22,72.330002,75.199997,72.050003,74.120003,74.120003,209500
2021-02-23,74.989998,74.989998,73.040001,74.050003,74.050003,151200
2021-02-24,72.379997,73.629997,72.019997,73.559998,73.559998,198500
2021-02-25,73.639999,73.989998,70.959999,71.180000,71.180000,144200
2021-02-26,70.510002,70.610001,69.269997,70.089996,70.089996,173500
2021-03-01,70.080002,71.110001,69.860001,70.699997,70.699997,100600
2021-03-02,70.720001,71.300003,70.300003,71.190002,71.190002,74200
2021-03-03,71.239998,72.059998,70.970001,71.120003,71.120003,142000
2021-03-04,70.589996,71.059998,68.320000,69.389999,69.389999,123900
2021-03-05,69.309998,69.309998,66.910004,68.959999,68.959999,150600
2021-03-08,69.860001,71.150002,69.290001,70.419998,70.419998,98000
2021-03-09,72.220001,72.620003,71.449997,72.199997,72.199997,110000
2021-03-10,72.510002,73.070000,71.449997,71.839996,71.839996,103000
2021-03-11,71.150002,72.349998,70.760002,72.180000,72.180000,59200
2021-03-12,70.690002,72.629997,70.690002,72.419998,72.419998,110100
2021-03-15,72.459999,72.940002,71.370003,72.910004,72.910004,140500
2021-03-16,72.029999,72.669998,71.699997,72.019997,72.019997,93400
2021-03-17,71.500000,72.629997,71.290001,72.629997,72.629997,92100
2021-03-18,70.860001,71.669998,70.239998,70.330002,70.330002,132100
2021-03-19,69.230003,69.860001,68.620003,69.639999,69.639999,175100
2021-03-22,68.599998,69.269997,68.239998,68.900002,68.900002,80000
2021-03-23,67.980003,68.110001,66.550003,66.680000,66.680000,94900
2021-03-24,67.430000,68.000000,66.669998,66.800003,66.800003,125900
2021-03-25,66.559998,68.739998,66.169998,68.610001,68.610001,109000
2021-03-26,68.889999,69.279999,67.870003,68.940002,68.940002,135300
2021-03-29,68.400002,68.580002,67.800003,68.150002,68.150002,60800
2021-03-30,68.279999,69.160004,68.279999,69.000000,69.000000,59900
2021-03-31,69.269997,69.540001,68.699997,68.900002,68.900002,74100
2021-04-01,69.250000,70.050003,69.180000,69.970001,69.970001,55300
2021-04-05,70.690002,71.419998,70.430000,71.349998,71.349998,110800
2021-04-06,70.980003,71.690002,70.980003,71.349998,71.349998,61600
2021-04-07,71.599998,71.930000,71.029999,71.150002,71.150002,50000
2021-04-08,70.690002,71.320000,70.389999,70.949997,70.949997,44200
2021-04-09,70.699997,71.339996,70.650002,71.239998,71.239998,42900
2021-04-12,70.580002,70.830002,70.459999,70.820000,70.820000,38600
2021-04-13,69.360001,70.470001,68.870003,70.400002,70.400002,76100
2021-04-14,72.089996,72.739998,71.940002,72.070000,72.070000,68100
2021-04-15,72.050003,72.070000,71.519997,71.750000,71.750000,47400
2021-04-16,72.169998,72.309998,71.669998,72.279999,72.279999,157900
2021-04-19,72.279999,72.379997,71.669998,71.779999,71.779999,54500
2021-04-20,70.940002,70.940002,68.949997,69.309998,69.309998,48900
2021-04-21,68.949997,70.449997,68.839996,70.389999,70.389999,53400
2021-04-22,69.669998,70.940002,69.620003,70.339996,70.339996,56900
2021-04-23,71.169998,72.050003,70.940002,71.970001,71.970001,60300
2021-04-26,72.889999,73.290001,72.489998,72.650002,72.650002,59100
2021-04-27,72.739998,73.029999,72.470001,72.470001,72.470001,102100
2021-04-28,72.879997,73.230003,72.389999,72.669998,72.669998,45800
2021-04-29,73.279999,73.349998,71.870003,72.410004,72.410004,64100
2021-04-30,71.519997,72.099998,70.879997,71.110001,71.110001,52400
2021-05-03,71.639999,72.330002,71.540001,72.019997,72.019997,45000
2021-05-04,71.540001,71.830002,69.739998,70.349998,70.349998,76000
2021-05-05,70.930000,71.070000,70.330002,70.510002,70.510002,76300
2021-05-06,70.000000,70.160004,69.459999,70.160004,70.160004,96100
2021-05-07,70.800003,71.849998,70.629997,71.839996,71.839996,145200
2021-05-10,71.010002,71.080002,69.860001,69.930000,69.930000,71400
2021-05-11,67.839996,68.739998,67.459999,68.559998,68.559998,130800
2021-05-12,68.150002,68.500000,67.019997,67.279999,67.279999,67100
2021-05-13,67.199997,68.169998,67.019997,68.029999,68.029999,83500
2021-05-14,68.730003,70.620003,68.720001,70.550003,70.550003,77200
2021-05-17,69.970001,69.970001,68.830002,69.440002,69.440002,64800
2021-05-18,68.809998,69.709999,68.559998,68.769997,68.769997,78300
2021-05-19,67.370003,68.489998,66.980003,68.120003,68.120003,65400
2021-05-20,68.050003,68.680000,67.769997,68.650002,68.650002,55900
2021-05-21,68.860001,69.050003,68.309998,68.370003,68.370003,46900
2021-05-24,69.309998,69.860001,69.059998,69.610001,69.610001,54200
2021-05-25,70.209999,70.709999,69.790001,69.820000,69.820000,46100
